,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country,Code,Region,Income Group,School Closures,As of,Date,Number of confirmed cases at time of closure,Planned Reopening,Planned Length of Closure (Weeks),Closure extended?,Planned re-opening 2,Details of closure,"Reopening process started
(Y/N/School year ended)",Date reopening process started,Number of cases at re-opening,Total Weeks closed,Details of re-opening,Remote/online tuition?,Online,Radio,TV,Sending work home with students / providing hardcopies of materials,Distance curriculum available in multiple languages?,Details of language of materials,Parent guide?,Details of parent guidance,Education Emergency Plan?,National exams impacted?,National exams impacted? (Detail),Plans for Special Education? (Y/N),Special Education detail,Broader workplace closures?,Existing Cash Transfer Supplemented?,Details of Cash Transfer / social proection program,Other supports - Childcare,Other supports - Childcare (Detail),Other supports - Meals,Other supports - Meals (Details),Other supports - Other,Source,Source,Facebook Page,Official COVID Education Policy Document,Source for Re-opening
Switzerland,CHE,Europe & Central Asia,High income,Yes,,13 March,"1,000",Indefinitely,,,,"""Cantons are urged to close schools and set up childcare facilities for students who can’t remain at home. Home Affairs minister Alain Berset said care facilities will be made available to avoid ""mixing of the generations"", which would imply that grandparents are caring for the children while their parents are at work. ""Our priority is to protect older people who are at risk from coronavirus"".",Yes,11 May,,,,Varies by Canton. Distance learning now available from MoE at https://www.eduport.ch/de,Yes,No,No,No,,,,,,,,,,,,,Yes,Reduced work hours (Gentilini),,,Faster unemployment insurance process,https://www.thelocal.ch/20200313/switzerland-closes-schools-and-offers-in-aid-to-businesses-over-virus,"http://www.edk.ch/dyn/11910.php

https://www.eduport.ch/de",,,
Syrian Arab Republic,SYR,Middle East & North Africa,Low income,Yes,,13 March,0,2 April,3,,,Announced school closings for 2 weeks as a preventative measure despite not having any confirmed cases. ,No,,,,,MoE launching 'platforms' program - unclear what this is.,No,No,No,No,,,,,,,,,,,,,,,,,,https://www.aljazeera.com/news/2020/03/stocks-collapse-coronavirus-global-pandemic-live-200312235606108.html,http://moed.gov.sy/site/,,,
"Taiwan, China",TWN,East Asia & Pacific,High income,Yes,,2 Feb,,15 Feb,2,Yes,25-Feb,Reopened February 25th after a 2-week extended winter break. ,Yes,25-Feb,,,,,,,,,,,,,,,,,,,,,,,Yes,"Government provided coupons to be used at night markets, shops, and restaurants. (Gentilini)",Vouchers for supermarkets and shops,https://www.scmp.com/video/china/3052535/taiwan-schools-reopen-amid-covid-19-epidemic-while-schools-hong-kong-remain,,https://www.facebook.com/www.edu.tw,,
Tajikistan,TJK,Europe & Central Asia,Low income,Yes,,24 March,,,,,,,No,,,,,,No,Yes,Yes,No,,,,,,,,,,,,,,,,,,http://edu-maorif.tj/,World Bank,,,
Tanzania,TZA,Sub-Saharan Africa,Low income,Yes,,17 March,1,30 days,4,Yes,29 June,"Schools initially closed on March 17 for 30 days. On April 14, closures were extended indefinitely. ",No,,,,,Government currently developing a distance learning plan. Nothing has been implemented as of April 23. ,No,No,No,No,,,No,,,,,,,,,,,,,,,https://twitter.com/samirasawlani/status/1239926196609179649,https://allafrica.com/stories/202006170226.html?utm_campaign=allafrica%3Aeditor&utm_medium=social&utm_source=twitter&utm_content=promote%3Aaans%3Aacbxam,https://www.facebook.com/pg/moestvt/posts/?ref=page_internal,,
Thailand,THA,East Asia & Pacific,Upper middle income,Yes,,16 March,147,Indefinitely,,,,All schools closed,No,,,,,Moving online,Yes,No,No,No,Yes,Online materials mostly available in Thai. Some materials available in English. ,No,,,,,,,,,,,,,,Subsidized social security contributions; wage subsidies; new cash transfer for workers not covered under another social assistance fund; health insurance benefits; unemployment insurance (Gentilini),"http://www.en.moe.go.th/enMoe2017/index.php/articles/561-covid-19-fear-pushes-classes-online

https://www.thaipbsworld.com/thailand-reports-33-new-covid-19-cases-today-monday/","http://www.en.moe.go.th/enMoe2017/


http://www.en.moe.go.th/enMoe2017/index.php/articles/568-opec-offers-free-online-tuition-for-pupils-public",https://www.facebook.com/MinistryofEducationThailand/,,
Timor-Leste,TLS,East Asia & Pacific,Lower middle income,Yes,,21 March,1,5 days,1,,,Minister of Youth Education and Sports Dulce de Jesus Sores has ordered the suspension of all school classes from March 23-28 to prevent the spread of the coronavirus.,No,,,,,Lessons available online and on television,Yes,No,Yes,No,No,,No,,,,,,,,,,,,,,,"https://www.ucanews.com/news/dili-archdiocese-cancels-masses-after-first-covid-19-case/87519

",https://www.nytimes.com/reuters/2020/03/21/world/asia/21reuters-health-coronavirus-timor.html,https://www.facebook.com/mejd1823/,,
Togo,TGO,Sub-Saharan Africa,Low income,Yes,,20 March,9,Indefinitely,,,,"""All schools and universities in Togo will be closed this Friday. A joint decision taken by Atcha Dédji Affoh, the Minister of Primary and Secondary Education and by his colleague in Technical Education, Taïrou Bagbiegue.""",Yes,15 June,,,,Nothing as of March 28,No,No,No,No,,,,,,,,,,,,,,,,,,https://www.republicoftogo.com/Toutes-les-rubriques/Education/Fermeture-de-toutes-les-ecoles,https://twitter.com/republicoftogo?lang=en,,,
Tonga,TON,East Asia & Pacific,Upper middle income,Yes,,27 March,0,,,,,"Contigency plan for possibility of school closures from March 19th. ""For a possible school closure, home-schooling will become the norm. School work will be delivered to your homes through various channels of communications – internet, radio, TV, soft and/or hard-copies of relevant school resources. Your teachers will also be on standby, via email/phone/messages, to answer your queries about your learning. It is the Ministry’s wish that regardless of a possible school closure, your learning will continue through new modes of lessons delivery."" Also added an extra hour to the school starting now to try to finish the school year more quickly. ",Yes,,,,,,Yes,Yes,Yes,Yes,No,,No,,,,,,,,,,,,,,,http://www.gov.to/press-release/impact-of-the-covid-19-on-the-tongan-school-systems/,,https://www.facebook.com/pg/TongaGovtPortal/posts/?ref=page_internal,,
Trinidad and Tobago,TTO,Latin America & Caribbean,High income,Yes,,16 March,5,20 April,5,,,,No,,,,,MoE created online learning portal and provided laptops to students in need. ,Yes,No,No,No,No,Materials available in English,No,,,Yes,"CXC announced changes in timing, length, and format ofCaribbean Secondary Examination Certificate (CSEC) and the Caribbean Advanced Proficiency Examination (CAPE) on March 26th. Exams will be held in July and will be administered in an e-testing format to allow results to be obtained more quickly. Content may also be shortened. ",,,,Yes ,3-month top-up to food cards (Gentilini),,,Yes,"""In Trinidad and Tobago, the Ministry of Social Development and Family Services will be distributing food cards to families with children registered to receive school meals under the government’s school-feeding program. The cards can be used to purchase food in supermarkets."" (Devex)",Cash assistance to households in which at least one person was laid off; rental assistance; paid sick leave (Gentilini),"https://www.miamiherald.com/news/nation-world/world/americas/haiti/article241245186.html

https://learn.moe.gov.tt/","http://www.news.gov.tt/content/trinidad-and-tobago-covid-19-formerly-novel-coronavirus-update-28#.XnK7OhNKh-U

https://www.cxc.org/may-june-strategy-2020/

https://www.devex.com/news/wfp-repackages-efforts-to-reach-hungry-children-as-covid-19-closes-schools-96878

https://www.looptt.com/content/ministry-arranging-internet-access-devices-vulnerable-students

",https://www.facebook.com/MoEduTT/,,
Tunisia,TUN,Middle East & North Africa,Lower middle income,Yes,,14 March,16,Indefinitely,,,,"""Courses at educational facilities will be suspended""",Yes,29 May,,,,"MoE currently exploring possibilities for digital learning including ""audiovisual, digital and paper media to maintain the link between learners and education in order to maintain the pace of education and the quality of educational""",Yes,No,No,No,,,,,,,,,,,,,,,,,Cash transfer to those working in the informal sector; cash transfer to households with a handicap person; cash transfer to households with children who do not have parental support; health insurance; unemployment insurance; social security subsidy (Gentilini),http://www.xinhuanet.com/english/2020-03/14/c_138875827.htm,,https://www.facebook.com/Ministere.education.Tunisie/,,
Turkey,TUR,Europe & Central Asia,Upper middle income,Yes,,16 March,6,3 weeks,3,,,All schools will begin distance / online learning,School year ended,,,,,MoE implementing online / distance learning. MoE currently in negotiations RE: developing televized learning programs,Yes,No,Yes,No,No,Materials available in Turkish.,No,,,,,,,,,,,,,,Support to families in need; Wage subsidies and work allowances; social security subsidy (Gentilini),https://tr.usembassy.gov/covid-19-information/,http://www.meb.gov.tr/eba-kontrol-merkezi-ile-uzaktan-egitim-724-yakin-takipte/haber/20599/tr,https://www.facebook.com/milliegitimbakanligi/,,
Turkmenistan,TKM,Europe & Central Asia,Upper middle income,No,25 March,,,,,,,School holidays extended until April 6th. Currently no confirmed cases or plans for closures.,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turks and Caicos Islands,TCA,Latin America & Caribbean,High income,Yes,,19 March,0,20 April,5,,,"""schools and nurseries were informed about the decision to close with effect from Friday, 20th March 2020 to Monday, 20th April 2020. As a result, Principals have been asked to implement plans to continue the delivery of the curricula using a variety of educational platforms, portals and websites. They have also been asked to create learning packs for students who may not have internet access""",School year ended,,,,,Schools have been asked to organize online learning opportunities,Yes,No,No,No,No,Materials available in English,No,,,Yes,"CXC announced changes in timing, length, and format ofCaribbean Secondary Examination Certificate (CSEC) and the Caribbean Advanced Proficiency Examination (CAPE) on March 26th. Exams will be held in July and will be administered in an e-testing format to allow results to be obtained more quickly. Content may also be shortened. ",,,,,,,,,,,https://www.gov.tc/education/,https://www.cxc.org/may-june-strategy-2020/,https://www.facebook.com/pressofficetcig/?hc_ref=ARQ_xjzoEIovsCu2azxXJRnebuvHNkQJK8jQkF-qKwV3hMLiyGhcf7DhdruZeQ0jg30&fref=nf&__xts__[0]=68.ARC2GtAmr3e4PW69dk6Q4eBwci_Ozx-mjmCftnC1V13bWEFZuhElj6PBRWVPq4zKnHza2bClKMIA8CXTGkuwvHyYVxRY1xUTIEmCSnqC3cHF1RYcc22C6JeCslJoPX28jztYqRp4M8UZ3VVAvCJOSM-6Uq6TpaPAwtI0djG2eT3v4ll8fwqgVnPyb-xdnMAiz7jsHPKRiW5JYExEwo1KRYx9kolToWOmVQ1xx-0Zm_zOaIv13E7qCSkVrAEvD_hfnNqQVP-TE68Tj6tJ8M-N5MiROxOYeQ3SX3pIg4dMjuMS6t1f4_iinhUvlHUzu7QxGIFQITwiWBzVw6_twfwPSG4fqQ&__tn__=kC-R,,
Tuvalu,TUV,East Asia & Pacific,Upper middle income,Yes,,23 March,,,,,,,Yes,27 April,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uganda,UGA,Sub-Saharan Africa,Low income,Yes,,18 March,0,30 days,4,Yes,Indefinitely,"Local authorities asked schools to enforce preventive measures, including offering hand sanitizers, avoiding overcrowding in class and dormitories, and introducing virus-related information to students.

Schools initially closed for 30 days on March 18th. The national lockdown was extended until May 5th. School reopening dates will be reassessed then. ",No,,,,,Teachers instructed to prepare 'learning packages' for students to take home. Government developing radio based lessons. ,No,Yes,No,Yes,No,,No,,Yes (new),Yes,Postponing exam registration as of 3.18,,,,,,,,,,,"http://www.xinhuanet.com/english/2020-03/15/c_138880804.htm

http://www.education.go.ug/",https://allafrica.com/stories/202003190180.html,https://www.facebook.com/EducSportsUg/,https://planipolis.iiep.unesco.org/sites/planipolis/files/ressources/uganda_covid19.pdf,
Ukraine,UKR,Europe & Central Asia,Lower middle income,Yes,,12 March,1,Indefinitely,,,,* Ministry of FInance is proposing to take money from the education budget to fight COVID (See MoE Facebook page from March 27),Yes,25 May,,,,Courses available online and through youtube broadcasts run by the MoE,Yes,No,No,No,No,Materials available in Ukrainian,No,,,,,,,,Yes,"""The state introduced a one-off payment to the current beneficiaries of child disability payments""; relaxed eligibility requirements of existing CT program; simplified enrollment procedures for some benefits programs (Gentilini)",,,,,One time cash payment to seniors with low pensions; ,https://www.forbes.com/sites/katyagorchinskaya/2020/03/11/ukraine-closes-schools-bans-public-events-over-coronavirus/#29d4202d434a,"https://mon.gov.ua/eng

https://mon.gov.ua/ua/news/mayemo-zahistiti-shansi-na-rozvitok-osviti-i-nauki-dlya-cogo-treba-zberegti-klyuchovi-byudzhetni-programi-poziciya-mon-ta-profilnogo-komitetu-vru-shodo-sekvestru-byudzhetu",https://www.facebook.com/UAMON,,
United Arab Emirates,ARE,Middle East & North Africa,High income,Yes,,8 March,27,4 weeks,4,Yes,End of school year,"- Public schools implementing distance learning programs
- All school buildings will be cleaned during this time",School year ended,,,,,"Piloting distance learning and encouraging parents to ensure adequate internet and technology in the home

""Ministry of Education in the United Arab Emirates, launched today the “Education without Interruption” campaign, a national fundraising campaign aimed at addressing the effects of the Covid-19 epidemic on the education of children and youth in the UAE . The campaign, which comes in line with the UAE government’s decision to extend distance learning until the end of the school year, calls on the Emirati community to make financial and in-kind donations to support children and young people from abusive families who cannot purchase a computer, laptop or tablet device, and join their peers in learning Remotely securely from their homes."" (From Dubai Cares announcemnt)

",Yes,No,No,No,No,Materials available in Arabic,No,,,,,,,,,,,,,,,"https://www.cnbc.com/2020/03/04/coronavirus-uae-cancels-events-announces-school-closures.html

https://www.moe.gov.ae/En/MediaCenter/News/Pages/distance-learning-initiative.aspx","https://www.moe.gov.ae/En/Pages/Home.aspx

https://www.moe.gov.ae/Ar/MediaCenter/News/pages/distance-learning-initiative.aspx

https://www.dubaicares.ae/ar/news/2270/",https://www.facebook.com/MinistryOfEducationUAE/,,
United Kingdom,GBR,Europe & Central Asia,High income,Yes,,20 March,"2,626",Indefinitely,,,,,Yes,1 June,,,,Schools organizing individual responses?,Yes,No,Yes,,,,,,Yes,Yes," "" the UK examination bodies have determined that they should cancel all GCSE and A-Level examinations for the spring/summer term 2020.""",,,,Yes,Adapting conditionalities on the universal child credit program; increasing main state-paid benefit (Gentilini),Yes,"Schools will remain open to children of key workers (healthcare, police, emergency services, etc)",Yes,"""Low-income families whose children are eligible for free school meals will be offered vouchers or meals at home, even if they are no longer attending school due to #coronavirus""",Subsidized sick leave; utility/financial obligation support; paid sick leave; wage subsidy,"https://www.bbc.com/news/uk-51952314

",https://www.facebook.com/gibraltargovernment/posts/3086577408054201?__xts__%5B0%5D=68.ARBNFcMUORTFk4zR0xqL9InhJr_qCsi_VZTc8dQsANddvZAoClmNX4NinB97eGvgOaHIBayL4mYZWnDLWETmcF84K3B6_E4jMAfxuqMTq3K7WbhHLgfCm-zTNquYqWcfmdePJYpOTvCijpM6Kgq1iv7r2tEBOP77tEldKvnI__ZdqhflpiU2Wx-73xpixZbsHutDGMMGMTMyQcNzOFY8C1JuKWB40zw4QKsrEybusX7dGzu5n_MhTtICAaTcL6zMeNzMwym_UI59cVC1oScuOgbZO382ZsHHncWHRNn-n2VlGGUpZEk6z1Sp1Bk75UrtmFBKd0KoQtTvTScLTYgPrw&__tn__=K-R,https://www.facebook.com/educationgovuk/,"https://www.gov.uk/government/collections/coronavirus-covid-19-guidance-for-schools-and-other-educational-settings

https://www.gov.uk/government/publications/covid-19-school-closures/guidance-for-schools-about-temporarily-closing",
United States,USA,North America,High income,Yes ,,16 March,,,,,,Varies by location can check map here,School year ended,,,,,,Yes,No,Yes,,,,,,,,,,,,,,,,,,"Paid family and sick leave; new cash transfer - Adults will get $1,200 each and children $500 each. ",,,,,
Uruguay,URY,Latin America & Caribbean,High income,Yes,,16 March,8,2 weeks,2,Yes,13 April,Classes were suspended. Schools were to remain open to provide school meals.,Yes,22 April,,,,"Online platform launched by MoE on March 20th.

""The platform will be updated daily by areas: Visual arts; Performing arts; Cinema and audiovisual; Letters; Music; Children and youth; Science; and with the novelty of the premiere of the # SodreEnCasa Festival, which presents the first and second acts of the opera Aida.""

According to the WB, every student in public education in Uruguay has a computer and many resources will be made accessible on those devices.",Yes,No,No,No,No,Materials in Spanish,No,,,,,,,,,,,,,,Wage subsidies,"https://www.presidencia.gub.uy/comunicacion/comunicacionnoticias/conferencia-sinae-coronavirus-delgado-salinas-viajes-europa
https://www.elpais.com.uy/informacion/politica/gobierno-suspende-clases-pais-semanas-coronavirus.html",,https://www.facebook.com/MecUru,https://planipolis.iiep.unesco.org/sites/planipolis/files/ressources/uruguay_protocolo_firmado_-_criterios_de_reincorporacion_laboral_en_pandemia_sars-cov-2.pdf,
Uzbekistan,UZB,Europe & Central Asia,Lower middle income,Yes,,16 March,6,3 weeks,3,,,All schools and universities closed,School year ended,,,,,"""The government commission should send videos to the Ministry of Public Education in conjunction with the television channels, which are part of the Uzbekistan National Television and Radio Program, to provide training.""

Also working on online programming

""If you do not have the opportunity to watch video lessons on TV or the Internet, your child has textbooks. You can help your child get an education."" (MoE)

MoE launched 'Online Kindergarten' starting April 1 which is broadcast on television and on social media platforms. ",Yes,Yes,Yes,Yes,Yes,Resources and broadcasts available in Uzbek and Russian. ,Yes,,,Yes,Secondary school exams cancelled. ,,,,Yes,"Increase in benefit coverage, allowances and public works (Gentilini)",,,,,Wage subsidies; paid sick leave.,"https://eurasianet.org/uzbekistan-confirms-covid-19-case-closes-borders

https://hpatrinos.com/2020/04/06/the-coming-economic-crisis-and-the-education-response/",https://www.uzedu.uz/uz/koronavirus-xtv-amalga-oshirilayotgan-ishlar,https://www.facebook.com/uzedu/,,
Vanuatu,VUT,East Asia & Pacific,Lower middle income,Yes,,26 March,0,,,,,,Yes,18 May,,,,,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,https://dailypost.vu/news/schools-to-reopen-on-monday/article_cfa93a5c-988e-11ea-83d7-ef516c7acc10.html,https://www.facebook.com/moetvanuatu/,,
"Venezuela, RB",VEN,Latin America & Caribbean,Upper middle income,Yes,,13 March,2,,,,,,No information,,,,,No information as of March 19th,No,No,No,No,,,,,Yes (new),,,,,,Yes,"""Increased monthly cash transfers, plus a one-off transfers (reaching 80% of the population), through existing programs and paid through the Sistema Patria platform"" (Gentilini)",,,Yes,Increase in deliveries of subsidized food parcels through the CLAP program (Gentilini),Utility/financial obligation support; wage subsidy,https://www.local10.com/news/world/2020/03/13/venezuela-already-in-crisis-reports-1st-coronavirus-cases/,,,https://planipolis.iiep.unesco.org/sites/planipolis/files/ressources/venezuela_planpedagogicomppe15mar.pdf,
Vietnam,VNM,East Asia & Pacific,Lower middle income,Yes (some areas),,12 February,,,,,,,Yes,4 May,231,12,Opening schools after 3 weeks with no new confirmed cases. ,Nothing on MoE site as of March 29,No,No,No,No,,,,,,,,,,,,,,,,,Utility/financial obligation support; social security contribution waiver / subsidy (Gentilini),https://en.moet.gov.vn/news/Pages/index.aspx,https://www.weforum.org/agenda/2020/03/vietnam-contain-covid-19-limited-resources/,,,https://apnews.com/1bb180691c7b830221fda35d103c44f7
Virgin Islands (U.S.),VIR,Latin America & Caribbean,High income,Yes,,16 March,2,14 April,4,,,,School year ended,,,,,"MoE posting open access sites (Khan Academy, etc). Otherwise no concrete distance learning plan",Yes,No,No,,,,,,,,,,,,,,,,,,,https://www.vide.vi/,https://viconsortium.com/vi-coronavirus/virgin-islands-second-case-of-coronavirus-confirmed-in-u-s-virgin-islands,https://www.facebook.com/USVI.VIDE/,,
West Bank and Gaza,PSE,Middle East & North Africa,Lower middle income,Yes,,20 March,2,Indefinitely,,,,"As for education, all schools in West Bank and Gaza Strip including public, private and UNRWA schools are closed as a protective measure.",Yes,3 June,,,,"""The Ministry of Education is currently working on connecting teachers and students with available e-Learning platforms in order to maintain the continuity of knowledge sharing among children. These efforts are not intended to be compulsory or ensure continuity of the education process with all its components but aims at keeping children connected with the learning process and provide them with the meaningful resources for self-learning.""

(Short run) ""School children and their parents have access to free online platforms for age appropriate materials, worksheets and lessons to ensure the continuation of knowledge sharing to school children""

(Long run) ""Fully activate the MoE e-learningplatform through rich, andinteractive content andmaterials, teachers’ capacitybuilding and offering IT solutions for teachers’ direct engagement with their students. MoE willtake into consideration supporting vulnerable children inremote areas to have equalaccess to the platform.""",Yes,No,No,No,,,Yes,,Yes (new),,,,,,,,,,,,"Support the psychosocial wellbeing of both students, their parents and educators in West bank and Gaza. One area of focus will focus on gender-speific issues and discrimination. 

Encourage all school counselors and MoE PSS emergency teams to utilize school social media platforms to provide PSS messages and offer individual counseling to children, teachers and parents ",https://www.timesofisrael.com/palestinians-announce-first-two-cases-of-coronavirus-in-gaza-strip/,,,https://planipolis.iiep.unesco.org/sites/planipolis/files/ressources/palestine_moe_covid_19_plan.pdf,
"Yemen, Rep.",YEM,Middle East & North Africa,Low income,Yes,,16 March,0,One week,1,,,Classes and exams suspended.,School year ended,,,,,Possible TV/radio programming on the 'Education Channel'? Nothing concrete,No,Yes,Yes,No,No,Materials available in Arabic.,No,,,Yes,National exams postponed,,,,,,,,,,,https://www.arabnews.com/node/1641896/middle-east,http://www.yemenmoe.net/student.aspx,https://www.facebook.com/YemenEducationMinistry?ref=%3Chttps%3A%2F%2Fwww.facebook.com%2Fpages%2F%D9%88%D8%B2%D8%A7%D8%B1%D8%A9-%D8%A7%D9%84%D8%AA%D8%B1%D8%A8%D9%8A%D8%A9-%D9%88%D8%A7%D9%84%D8%AA%D8%B9%D9%84%D9%8A%D9%85-%D8%A7%D9%84%D9%8A%D9%85%D9%86-Ministry-of-Education%2F221353641283756%3Fref%3Dtn_tnmn,,
Zambia,ZMB,Sub-Saharan Africa,Lower middle income,Yes,,20 March,2,Indefinitely,,,,Schools to close on March 20th - decision made on March 17th. ,Yes,1 June,,,,"Teachers should send work home with students and implement ""home grown solutions"". Students will need to make up work. ",No,No,No,Yes,,,No,,,,,,,,,,,,,,,https://www.moge.gov.zm/download/Press-statements/press-station-on-the-closure-of-learning-institution.jpg,,https://www.facebook.com/www.moge.gov.zm/,,
Zimbabwe,ZWE,Sub-Saharan Africa,Lower middle income,Yes,,24 March,0,19 April,4,Yes,July 28,,No,,,,,"Primary and Secondary Education Ministry, in partnership with the Higher Life Foundation will offer free online educational material to learners during the ongoing lockdown.

The MoE is currently offering Ruzivo platform, ""www.rdl.co.zw, for study material and other educational related materials. Our partner Higher Life Foundation is availing the platform at a zero rate.""",Yes,No,No,No,,,,,,,,,,,,,,,,,,"https://allafrica.com/stories/202003200728.html

https://allafrica.com/stories/202004010773.html",http://mopse.co.zw/blog-v2,https://www.facebook.com/MinistryofEducationZimbabwe/,,
,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,, ,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
